ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
95,Marshall Islands,A95,2003,589.6575395297826,131398500.0,54493.0
95,Marshall Islands,A95,2004,624.4197313795667,132934600.0,54435.0
95,Marshall Islands,A95,2005,652.5554375723784,137666300.0,54337.0
95,Marshall Islands,A95,2006,688.7558371242649,142745200.0,54208.0
95,Marshall Islands,A95,2007,726.6211392606015,149870000.0,54038.0
95,Marshall Islands,A95,2008,736.4383122375875,145969100.0,53816.0
95,Marshall Islands,A95,2009,762.5129145772861,150624900.0,53593.0
95,Marshall Islands,A95,2010,807.0152303031971,160318500.0,53416.0
95,Marshall Islands,A95,2011,838.3478389978204,171567100.0,52971.0
95,Marshall Islands,A95,2012,865.026742947225,179855800.0,52203.0
95,Marshall Islands,A95,2013,895.291041947852,185468000.0,51352.0
95,Marshall Islands,A95,2014,919.3792179527683,185172900.0,50419.0
95,Marshall Islands,A95,2015,958.0928924045088,182997300.0,49410.0
95,Marshall Islands,A95,2016,982.8855280611758,200716000.0,48329.0
95,Marshall Islands,A95,2017,1010.7956111031273,212701200.0,47187.0
95,Marshall Islands,A95,2018,1042.0799051523504,219330300.0,45989.0
95,Marshall Islands,A95,2019,1063.7412125641083,232092300.0,44728.0
96,Mauritania,A96,2000,8110.376882562995,1779520861.64321,2695003.0
96,Mauritania,A96,2001,8500.641377474623,1746063580.38174,2761823.0
96,Mauritania,A96,2002,9026.476164065243,1777057503.059,2821703.0
96,Mauritania,A96,2003,9515.249468182423,2051147606.73687,2883326.0
96,Mauritania,A96,2004,10076.203760016431,2362501023.24249,2946575.0
96,Mauritania,A96,2005,10530.22706242613,2936019525.60241,3012360.0
96,Mauritania,A96,2006,11114.389579636987,3919577285.92703,3081229.0
96,Mauritania,A96,2007,11725.418476685705,4346212411.05496,3153508.0
96,Mauritania,A96,2008,11883.837293856792,5206437120.9471,3233336.0
96,Mauritania,A96,2009,12304.600753005869,4714595487.85253,3322616.0
96,Mauritania,A96,2010,13022.73052775875,5628878865.99027,3419461.0
96,Mauritania,A96,2011,13528.341951732113,6764627665.69239,3524249.0
96,Mauritania,A96,2012,13958.856970362582,6728208836.22143,3636113.0
96,Mauritania,A96,2013,14447.229179086093,7223071177.15856,3742959.0
96,Mauritania,A96,2014,14835.937859217684,6592537781.81518,3843174.0
96,Mauritania,A96,2015,15460.65686227167,6166863960.00061,3946220.0
96,Mauritania,A96,2016,15860.73334299481,6398741855.76276,4051890.0
96,Mauritania,A96,2017,16311.115785375914,6800138755.34592,4160015.0
96,Mauritania,A96,2018,16815.947560361295,7473550557.07378,4270712.0
96,Mauritania,A96,2019,17165.49408527172,8066118984.30581,4383849.0
97,Mauritius,A97,2000,14359.882802967262,4663321022.22673,1186873.0
97,Mauritius,A97,2001,15050.868251638447,4613637222.14006,1196287.0
97,Mauritius,A97,2002,15981.888599829519,4841310239.63687,1204621.0
97,Mauritius,A97,2003,16847.28948883528,5816559038.54545,1213370.0
97,Mauritius,A97,2004,17840.49091525435,6578840498.66931,1221003.0
97,Mauritius,A97,2005,18644.364953023985,6488743119.74298,1228254.0
97,Mauritius,A97,2006,19678.657860307896,7028810754.78164,1233996.0
97,Mauritius,A97,2007,20760.51921865122,8150150144.15635,1239630.0
97,Mauritius,A97,2008,21041.008729965106,9990356849.29491,1244121.0
97,Mauritius,A97,2009,21785.99432664461,9128843109.15588,1247429.0
97,Mauritius,A97,2010,23057.48387048364,10003670690.3497,1250400.0
97,Mauritius,A97,2011,23952.697606815516,11518413429.9684,1252404.0
97,Mauritius,A97,2012,24714.94889328066,11668696526.2252,1255882.0
